name,text
@,ezraklein,"This is an important, depressing point from Dara Lind: https://t.co/YecJYT7hHW https://t.co/JNKxBYHrZK"
@,ezraklein,"""Hitler jokes and rape jokes alike come originally from naivete, and eventually harden into belief"" https://t.co/VkXVx6tfMZ"
@,ezraklein,"So, who is going to pick up the provacateur even Breitbart News couldn't defend? https://t.co/Zki9JWGEFp"
@,ezraklein,"549 key positions in the administration need Senate confirmation. So far, Trump has filled 14. https://t.co/SUsaobR5WJ"
@,ezraklein,Obama's task on health care was hard. Trump's is harder. Obama was adding benefits. Trump is taking them. https://t.co/soJhIWAaGM
@,ezraklein,"""recognition of historical atrocities became seen as some kind of pansy liberal piety"": https://t.co/YecJYT7hHW"
@,ezraklein,Call it by its name: anti-Semitism https://t.co/YecJYT7hHW
@,ezraklein,"RT @natsecHeather: Millions of our neighbors fearing any contact w/govt,living in absolute insecurity day-to-day isn't a recipe for stabili…"
@,ezraklein,Trump is giving the federal government instructions that prioritize mass deportations of unauthorized immigrants: https://t.co/n3Zv8QGLvk
@,ezraklein,How to lose a constitutional democracy: https://t.co/bhONRWhNTq
name,text
@,buzzfeedben,RT @conor64: And many conservatives keep acting as an accessory after the fact because they're more invested in hating the press than any p…
@,buzzfeedben,"RT @StephensWSJ: My Daniel Pearl lecture on the dark purposes of Trump's attack on media, and the risks of conservative capitulation. https…"
@,buzzfeedben,RT @alexburnsNYT: Wisconsin political reporter on Reince attacking anonymous sourcing &gt;&gt; https://t.co/9oXBXOIgzK
@,buzzfeedben,RT @maggieNYT: 2/ cutout stand-in for actual rival for time being. Trump need/craves the press. But his supporters mostly don't know he's p…
@,buzzfeedben,"RT @maggieNYT: Trump, of  course, does not in any way believe the media is the enemy. Feeds off it and some of his advisers see press as go…"
@,buzzfeedben,"RT @Philip_Elliott: So we can totally do a find-replace and name all of the SAOs we've been quoting on WH-organized calls, right? https://t…"
@,buzzfeedben,RT @svdate: This is beyond awesome! No more of those awful SAO background calls!! https://t.co/Di4tXKmK4W
@,buzzfeedben,RT @jnaudz: Comparing @BuzzFeedNews and cable television coverage right after the rally in Florida. We're in the field. Others retreated to…
